dataset,num_predictors,intercept,beta_1,beta_2,beta_3,rmse,r2,noise_level
1D L,1,0.1981967764536621,0.5493808129558254,,,0.0517860131253267,0.90107774217629,L
1D M,1,0.4012344821116282,0.3317863499471926,,,0.1136211850979546,0.4083371658317325,M
1D H,1,0.308491652363933,0.3133199271754083,,,0.1357207890448633,0.3013587118202219,H
2D L,2,0.1979584932135121,0.5493532510276502,-0.1664756517622132,,0.0517875185627989,0.9064722615950876,L
2D M,2,0.3266473580188969,0.3347706122632969,0.1113364693637556,,0.1124563554373253,0.4524969202810315,M
2D H,2,0.3234750637906725,0.3150858654310037,0.1341676499805176,,0.1353759818049253,0.3516063369729385,H
3D L,3,0.2143950389356679,0.5528434177078494,-0.1647502365180147,0.21436098259493,0.0508722490021498,0.9242100366215809,L
3D M,3,0.4360682253247429,0.3367643129675913,0.1123460873618469,-0.2688541089312695,0.1123182555273766,0.5352889203225636,M
3D H,3,0.3268303442592072,0.3157877180899724,0.134524319351228,0.2319480067444118,0.1353682140260488,0.4627346987225552,H
